"வணக்கம்","हॅलो"
"ஹாய்","हाय"
"ஏய்","अहो"
"குட்பை","निरोप"
"பை","बाय"
"வரவேற்கிறோம்","आपले स्वागत आहे"
"காலை","सकाळी"
"பிற்பகல்","दुपारी"
"மாலை","संध्याकाळ"
"இரவு","रात्री"
"காலை வணக்கம்","सुप्रभात"
"நல்ல மதியம்","शुभ दुपार"
"நல்ல மாலை","शुभ संध्याकाळ"
"நல்ல இரவு","शुभ रात्री"
"பின்னர் சந்திப்போம்.","नंतर भेटू."
"கவனித்துக் கொள்ளுங்கள்.","काळजी घ्या."
"என்ன","काय"
"எப்போது","जेव्हा"
"எங்கே","कुठे"
"WHO","WHO"
"ஏன்","का"
"எப்படி","कसे"
"நீங்கள்?","आपण आहात?"
"உங்கள் பெயர் என்ன?","तुझे नाव काय आहे?"
"நீங்கள் என்ன செய்கிறீர்கள்?","आपण काय करीत आहात?"
"இது என்ன நேரம்?","किती वेळ आहे?"
"நீங்கள் எங்கிருந்து வருகிறீர்கள்?","तू कोठून आहेस?"
"உங்கள் நாள் எப்படி இருந்தது?","तुमचा दिवस कसा होता?"
"என்ன?","काय चालले आहे?"
"நீங்கள் என்ன சொல்கிறீர்கள்?","तुम्हाला काय म्हणायचे आहे?"
"நீங்கள் உறுதியாக இருக்கிறீர்களா?","तुम्हाला खात्री आहे का?"
"நீங்கள் என்ன நினைக்கிறீர்கள்?","तुला काय वाटते?"
"நாம் பேச முடியுமா?","आम्ही बोलू शकतो?"
"என்ன நடந்தது?","काय झाले?"
"நீங்கள் நலமாக இருக்கிறீர்களா?","आपण ठीक आहात?"
"ஆம்","होय"
"இல்லை","नाही"
"சரி","ठीक आहे"
"சரி","ठीक आहे"
"குளிர்","मस्त"
"பெரிய","छान"
"நல்லது","चांगले"
"மோசமான","वाईट"
"ஒருவேளை","कदाचित"
"நிச்சயமாக","नक्की"
"ஒருபோதும்","कधीही नाही"
"எப்போதும்","नेहमी"
"நிச்சயமாக.","नक्कीच."
"நான் ஒப்புக்கொள்கிறேன்.","मी सहमत आहे."
"நான் உடன்படவில்லை.","मी सहमत नाही."
"எந்த பிரச்சனையும் இல்லை.","काही हरकत नाही."
"நன்றாக இருக்கிறது.","छान वाटते."
"அது ஒரு நல்ல யோசனை.","ती चांगली कल्पना आहे."
"i","मी"
"நீங்கள்","आपण"
"அவர்","तो"
"அவள்","ती"
"நாங்கள்","आम्ही"
"அவர்கள்","ते"
"நான்","मी"
"அவர்","त्याला"
"அவள்","ती"
"எங்களுக்கு","आम्हाला"
"அவர்கள்","त्यांना"
"என்","माझे"
"உங்கள்","तुझे"
"அவரது","त्याचे"
"எங்கள்","आमची"
"அவர்களின்","त्यांचे"
"நண்பர்","मित्र"
"நண்பர்கள்","मित्र"
"குடும்பம்","कुटुंब"
"அம்மா","आई"
"தந்தை","वडील"
"சகோதரி","बहीण"
"சகோதரர்","भाऊ"
"காதல்","प्रेम"
"குழந்தை","बाळ"
"ஐயா","सर"
"மேடம்","मॅडम"
"வீடு","मुख्यपृष्ठ"
"வேலை","काम"
"பள்ளி","शाळा"
"கல்லூரி","कॉलेज"
"அலுவலகம்","कार्यालय"
"இங்கே","येथे"
"அங்கே","तेथे"
"இடம்","ठिकाण"
"நகரம்","शहर"
"நாடு","देश"
"உலகம்","जग"
"நேரம்","वेळ"
"இன்று","आज"
"நாளை","उद्या"
"நேற்று","काल"
"இப்போது","आता"
"பின்னர்","नंतर"
"விரைவில்","लवकरच"
"நிமிடங்கள்","मिनिट"
"மணி","तास"
"நாள்","दिवस"
"வாரம்","आठवडा"
"மாதம்","महिना"
"ஆண்டு","वर्ष"
"செய்தி","संदेश"
"உரை","मजकूर"
"புகைப்படம்","फोटो"
"வீடியோ","व्हिडिओ"
"பாடல்","गाणे"
"படம்","चित्रपट"
"விளையாட்டு","खेळ"
"உணவு","अन्न"
"நீர்","पाणी"
"தேநீர்","चहा"
"காபி","कॉफी"
"பெயர்","नाव"
"எண்","क्रमांक"
"பணம்","पैसा"
"உதவி","मदत"
"சிக்கல்","समस्या"
"யோசனை","कल्पना"
"விஷயம்","गोष्ट"
"விஷயங்கள்","गोष्टी"
"வாழ்க்கை","जीवन"
"வேலை","नोकरी"
"கார்","कार"
"பைக்","दुचाकी"
"பஸ்","बस"
"ரயில்","ट्रेन"
"போ","जा"
"வாருங்கள்","या"
"பார்க்க","पहा"
"பார்","पहा"
"வாட்ச்","पहा"
"கேளுங்கள்","ऐका"
"சாப்பிடுங்கள்","खा"
"பானம்","प्या"
"தூங்கு","झोप"
"காத்திருங்கள்","प्रतीक्षा करा"
"பேச்சு","चर्चा"
"பேசுங்கள்","बोला"
"சொல்லுங்கள்","म्हणा"
"சொல்லுங்கள்","सांगा"
"கேளுங்கள்","विचारा"
"பதில்","उत्तर"
"தெரியும்","माहित आहे"
"சிந்தியுங்கள்","विचार करा"
"புரிந்து கொள்ளுங்கள்","समजून घ्या"
"சராசரி","म्हणजे"
"விளையாடுங்கள்","खेळा"
"போன்ற","आवडले"
"வெறுப்பு","द्वेष"
"வேண்டும்","हवे आहे"
"தேவை","गरज"
"கொடுங்கள்","द्या"
"எடுத்துக் கொள்ளுங்கள்","घ्या"
"அனுப்பு","पाठवा"
"பெறுங்கள்","प्राप्त"
"அழைப்பு","कॉल"
"சந்திப்பு","भेटा"
"தொடக்க","प्रारंभ करा"
"நிறுத்து","थांबवा"
"முடிக்க","समाप्त"
"முயற்சிக்கவும்","प्रयत्न करा"
"செய்","करा"
"உருவாக்கு","बनवा"
"மகிழ்ச்சி","आनंदी"
"சோகம்","दु: खी"
"கோபம்","राग"
"சோர்வாக","थकलेले"
"பசி","भुकेले"
"பிஸியாக","व्यस्त"
"இலவசம்","मुक्त"
"புதியது","नवीन"
"பழைய","जुने"
"பெரியது","मोठे"
"சிறிய","लहान"
"நீண்ட","लांब"
"குறுகிய","लहान"
"சூடாக","गरम"
"குளிர்","थंड"
"நல்லது","छान"
"அழகான","सुंदर"
"அருமை","छान"
"ஆச்சரியம்","आश्चर्यकारक"
"உண்மையில்","खरोखर"
"மிகவும்","खूप"
"எனவே","तर"
"கூட","खूप"
"பின்னர்","मग"
"சில நேரங்களில்","कधीकधी"
"பெரும்பாலும்","अनेकदा"
"மீண்டும்","पुन्हा"
"வேகமாக","वेगवान"
"மெதுவாக","हळू"
"ஆரம்பத்தில்","लवकर"
"தாமதமாக","उशीरा"
"மற்றும்","आणि"
"ஆனால்","पण"
"அல்லது","किंवा"
"ஏனெனில்","कारण"
"என்றால்","जर"
"க்கு","साठी"
"இல்","मध्ये"
"ஆன்","चालू"
"at","वर"
"to","टू"
"உடன்","सह"
"இருந்து","पासून"
"பற்றி","बद्दल"
"of","च्या"
"நான் நன்றாக இருக்கிறேன், நன்றி.","मी ठीक आहे, धन्यवाद."
"என் பெயர் ...","माझे नाव आहे ..."
"உங்களை சந்தித்ததில் மகிழ்ச்சி.","तुला भेटून आनंद झाला."
"மன்னிக்கவும்.","मला माफ करा."
"நான் இருந்து ...","मी पासून आहे ..."
"நீங்கள் எனக்கு உதவ முடியுமா?","आपण मला मदत करू शकता?"
"எனக்குத் தெரியாது.","मला माहित नाही."
"எனக்கு புரியவில்லை.","मला समजत नाही."
"போகலாம்.","चला जाऊया."
"அதிகம் எதுவும் இல்லை.","जास्त काही नाही."
"அது நன்றாக இருந்தது.","ते चांगले होते."
"எனக்கு தாகம் இருக்கிறது.","मला तहान लागली आहे."
"ரெஸ்ட் ரூம் எங்குள்ளது?","प्रसाधनगृह कुठे आहे?"
"நான் ஓய்வெடுக்க வேண்டும்.","मला विश्रांती घेण्याची गरज आहे."
"உங்களுடன் பின்னர் பேசுங்கள்.","नंतर आपल्याशी बोला."
"என் வழியில்.","माझ्या मार्गावर."
"வலதுபுறம் இருங்கள்.","बरोबर परत व्हा."
"அது வேடிக்கையானது.","ते मजेदार आहे."
"அது பெரியது!","ते छान आहे!"
"கடவுளே!","अरे देवा!"
"வாழ்த்துக்கள்!","अभिनंदन!"
"பிறந்தநாள் வாழ்த்துக்கள்!","वाढदिवसाच्या हार्दिक शुभेच्छा!"
"நான் உன்னை இழக்கிறேன்.","मला तुझी आठवण येते."
"நான் உன்னை நேசிக்கிறேன்.","मी तुझ्यावर प्रेम करतो."
"என்னை அழைக்கவும்.","मला कॉल करा."
"எனக்கு உரை அனுப்பவும்.","मला मजकूर पाठवा."
"இன்றைய உங்கள் திட்டங்கள் என்ன?","आज आपल्या काय योजना आहेत?"
"நாளை நீங்கள் இலவசமா?","आपण उद्या मुक्त आहात?"
"நான் அதை எதிர்பார்க்கிறேன்.","मी याची अपेक्षा करीत आहे."
"இது அவசரம்.","हे तातडीचे आहे."
"கவலைப்பட வேண்டாம்.","काळजी करू नका."
"பரவாயில்லை.","हे ठीक आहे."
"அது ஆச்சரியமாக இருக்கிறது!","ते आश्चर्यकारक आहे!"
"நான் மிகவும் மகிழ்ச்சியாக இருக்கிறேன்.","मी खूप आनंदी आहे."
"நான் மிகவும் சோகமாக இருக்கிறேன்.","मी खूप दु: खी आहे."
"நான் உற்சாகமாக இருக்கிறேன்.","मी उत्साहित आहे."
"எனக்கு சலிப்பு.","मी कंटाळलो आहे."
"நான் செல்ல வேண்டும்.","मला जावे लागेल."
"நான் அங்கே இருப்பேன்.","मी तिथे असेल."
"எனக்கு உதவி தேவை.","मला मदतीची आवश्यकता आहे."
"ஒரு கணம் காத்திருங்கள்.","एक क्षण थांबा."
"நான் விளையாடுகிறேன்.","मी फक्त गंमत करत आहे."
"எனக்கு நிச்சயமாகத் தெரியவில்லை.","मला खात्री नाही."
"எனக்கு எதுவும் தெரியாது.","मला कल्पना नाही."
"இது அழகாக இருக்கிறது.","ते सुंदर आहे."
"இது சுவையாக இருக்கிறது.","हे मधुर आहे."
"எனக்கு உடம்பு சரியில்லை.","मी आजारी आहे."
"விரைவில் குணமடையுங்கள்.","लवकरच बरे व्हा."
"நாங்கள் எங்கே போகிறோம்?","आम्ही कुठे जात आहोत?"
"நான் தொலைந்துவிட்டேன்.","मी हरवले आहे."
"அதை மீண்டும் செய்ய முடியுமா?","आपण याची पुनरावृत्ती करू शकता?"
"மெதுவாக பேசுங்கள்.","हळू हळू बोला."
"இது என்ன?","हे काय आहे?"
"இது எவ்வளவு?","हे किती आहे?"
"நான் அதை எடுத்துக்கொள்வேன்.","मी ते घेईन."
"உங்களிடம் இது மற்றொரு நிறத்தில் இருக்கிறதா?","आपल्याकडे हे दुसर्‍या रंगात आहे का?"
"நான் எங்கே காணலாம் ...?","मला कुठे सापडेल ...?"
"நான் பார்க்கிறேன்.","मी फक्त पहात आहे."
"ஒரு சிறந்த நாள்!","आपला दिवस चांगला जावो!"
"நீங்களும்!","तूसुद्धा!"
"நல்ல அதிர்ஷ்டம்!","शुभेच्छा!"
"lol","LOL"
"Brb","बीआरबी"
"OMW","ओएमडब्ल्यू"
"btw","बीटीडब्ल्यू"
"IMO","आयएमओ"
"ttyl","ttyl"
"idk","आयडीके"
"விரைவில்","शक्य तितक्या लवकर"
"ஃபோமோ","FOMO"
"ஆடு","बकरी"
"லைட்","लिट"
"நெகிழ்வு","फ्लेक्स"
"உப்பு","खारट"
"தொப்பி","कॅप"
"வாழ்த்துக்கள்","अभिनंदन"
"நன்றி","धन्यवाद"
"சுப்","सुप"
"யோ","यो"
"கனா","मुला"
"சகோ","भाऊ"
"சிஸ்","sis"
"மனிதன்","माणूस"
"பெண்","स्त्री"
"பெண்","मुलगी"
"பையன்","मुलगा"
"நபர்","व्यक्ती"
"மக்கள்","लोक"
"கணம்","क्षण"
"வழி","मार्ग"
"பகுதி","भाग"
"குழு","गट"
"நிறுவனம்","कंपनी"
"கேள்வி","प्रश्न"
"உண்மை","वस्तुस्थिती"
"கதை","कथा"
"புத்தகம்","पुस्तक"
"இசை","संगीत"
"கலை","कला"
"படம்","प्रतिमा"
"படம்","चित्र"
"நிறம்","रंग"
"காற்று","हवा"
"தீ","आग"
"பூமி","पृथ्वी"
"சூரியன்","सूर्य"
"சந்திரன்","चंद्र"
"நட்சத்திரம்","तारा"
"வானம்","आकाश"
"கடல்","समुद्र"
"நதி","नदी"
"மலை","माउंटन"
"மரம்","झाड"
"மலர்","फ्लॉवर"
"விலங்கு","प्राणी"
"நாய்","कुत्रा"
"பூனை","मांजर"
"பறவை","पक्षी"
"மீன்","मासे"
"வீடு","घर"
"அறை","खोली"
"கதவு","दरवाजा"
"சாளரம்","विंडो"
"தெரு","रस्ता"
"சாலை","रस्ता"
"நகரம்","शहर"
"கிராமம்","गाव"
"பல்கலைக்கழகம்","विद्यापीठ"
"தொழில்","करिअर"
"விலை","किंमत"
"செலவு","किंमत"
"மாற்றம்","बदला"
"செய்தி","बातम्या"
"தகவல்","माहिती"
"தரவு","डेटा"
"அமைப்பு","प्रणाली"
"திட்டம்","कार्यक्रम"
"திட்டம்","प्रकल्प"
"அணி","टीम"
"உறுப்பினர்","सदस्य"
"தலைவர்","नेता"
"பாஸ்","बॉस"
"மாணவர்","विद्यार्थी"
"ஆசிரியர்","शिक्षक"
"மருத்துவர்","डॉक्टर"
"வழக்கறிஞர்","वकील"
"பொறியாளர்","अभियंता"
"கலைஞர்","कलाकार"
"எழுத்தாளர்","लेखक"
"வீரர்","प्लेअर"
"விசிறி","चाहता"
"எதிரி","शत्रू"
"அமைதி","शांतता"
"போர்","युद्ध"
"நம்பிக்கை","आशा"
"பயம்","भीती"
"கனவு","स्वप्न"
"உண்மை","वास्तविकता"
"உண்மை","सत्य"
"பொய்","खोटे बोलणे"
"வரலாறு","इतिहास"
"எதிர்காலம்","भविष्य"
"கடந்த","भूतकाळ"
"தற்போது","उपस्थित"
"எப்படி","कसे"
"மட்டும்","फक्त"
"சும்மா சொன்னேன்","मस्करी"
"ப்ரேம்","Prem"
"இருக்கிறேன்","आहे"
"ப்ரேம்","prem"
"இருக்கிறார்கள்","आहेत"