"வணக்கம்","హలో"
"ஹாய்","హాయ్"
"ஏய்","హే"
"குட்பை","వీడ్కోలు"
"பை","బై"
"வரவேற்கிறோம்","స్వాగతం"
"காலை","ఉదయం"
"பிற்பகல்","మధ్యాహ్నం"
"மாலை","సాయంత్రం"
"இரவு","రాత్రి"
"காலை வணக்கம்","శుభోదయం"
"நல்ல மதியம்","శుభ మధ్యాహ్నం"
"நல்ல மாலை","శుభ సాయంత్రం"
"நல்ல இரவு","గుడ్ నైట్"
"பின்னர் சந்திப்போம்.","తరువాత కలుద్దాం."
"கவனித்துக் கொள்ளுங்கள்.","జాగ్రత్త వహించండి."
"என்ன","ఏమి"
"எப்போது","ఎప్పుడు"
"எங்கே","ఎక్కడ"
"WHO","WHO"
"ஏன்","ఎందుకు"
"எப்படி","ఎలా"
"நீங்கள்?","మీరు?"
"உங்கள் பெயர் என்ன?","మీ పేరు ఏమిటి?"
"நீங்கள் என்ன செய்கிறீர்கள்?","మీరు ఏమి చేస్తున్నారు?"
"இது என்ன நேரம்?","ఇది ఏ సమయం?"
"நீங்கள் எங்கிருந்து வருகிறீர்கள்?","మీరు ఎక్కడ నుండి వచ్చారు?"
"உங்கள் நாள் எப்படி இருந்தது?","మీ రోజు ఎలా ఉంది?"
"என்ன?","ఏమిటి?"
"நீங்கள் என்ன சொல்கிறீர்கள்?","మీ ఉద్దేశ్యం ఏమిటి?"
"நீங்கள் உறுதியாக இருக்கிறீர்களா?","మీకు ఖచ్చితంగా తెలుసా?"
"நீங்கள் என்ன நினைக்கிறீர்கள்?","మీరు ఏమనుకుంటున్నారు?"
"நாம் பேச முடியுமா?","మనం మాట్లాడగలమా?"
"என்ன நடந்தது?","ఏమి జరిగింది?"
"நீங்கள் நலமாக இருக்கிறீர்களா?","మీరు బాగున్నారా?"
"ஆம்","అవును"
"இல்லை","లేదు"
"சரி","సరే"
"சரி","సరే"
"குளிர்","కూల్"
"பெரிய","గొప్పది"
"நல்லது","మంచిది"
"மோசமான","చెడ్డది"
"ஒருவேளை","బహుశా"
"நிச்சயமாக","ఖచ్చితంగా"
"ஒருபோதும்","ఎప్పుడూ"
"எப்போதும்","ఎల్లప్పుడూ"
"நிச்சயமாக.","కోర్సు యొక్క."
"நான் ஒப்புக்கொள்கிறேன்.","నేను అంగీకరిస్తున్నాను."
"நான் உடன்படவில்லை.","నేను అంగీకరించలేదు."
"எந்த பிரச்சனையும் இல்லை.","సమస్య లేదు."
"நன்றாக இருக்கிறது.","బాగుంది."
"அது ஒரு நல்ல யோசனை.","అది మంచి ఆలోచన."
"i","i"
"நீங்கள்","మీరు"
"அவர்","అతను"
"அவள்","ఆమె"
"நாங்கள்","మేము"
"அவர்கள்","వారు"
"நான்","నేను"
"அவர்","ఆయన"
"அவள்","ఆమె"
"எங்களுக்கு","మాకు"
"அவர்கள்","వాటిని"
"என்","నా"
"உங்கள்","మీ"
"அவரது","అతని"
"எங்கள்","మా"
"அவர்களின்","వారి"
"நண்பர்","స్నేహితుడు"
"நண்பர்கள்","స్నేహితులు"
"குடும்பம்","కుటుంబం"
"அம்மா","తల్లి"
"தந்தை","తండ్రి"
"சகோதரி","సోదరి"
"சகோதரர்","సోదరుడు"
"காதல்","ప్రేమ"
"குழந்தை","బేబీ"
"ஐயா","సర్"
"மேடம்","మేడమ్"
"வீடு","హోమ్"
"வேலை","పని"
"பள்ளி","పాఠశాల"
"கல்லூரி","కళాశాల"
"அலுவலகம்","కార్యాలయం"
"இங்கே","ఇక్కడ"
"அங்கே","అక్కడ"
"இடம்","స్థలం"
"நகரம்","నగరం"
"நாடு","దేశం"
"உலகம்","ప్రపంచం"
"நேரம்","సమయం"
"இன்று","ఈ రోజు"
"நாளை","రేపు"
"நேற்று","నిన్న"
"இப்போது","ఇప్పుడు"
"பின்னர்","తరువాత"
"விரைவில்","త్వరలో"
"நிமிடங்கள்","నిమిషం"
"மணி","గంట"
"நாள்","రోజు"
"வாரம்","వారం"
"மாதம்","నెల"
"ஆண்டு","సంవత్సరం"
"செய்தி","సందేశం"
"உரை","వచనం"
"புகைப்படம்","ఫోటో"
"வீடியோ","వీడియో"
"பாடல்","పాట"
"படம்","సినిమా"
"விளையாட்டு","ఆట"
"உணவு","ఆహారం"
"நீர்","నీరు"
"தேநீர்","టీ"
"காபி","కాఫీ"
"பெயர்","పేరు"
"எண்","సంఖ్య"
"பணம்","డబ్బు"
"உதவி","సహాయం"
"சிக்கல்","సమస్య"
"யோசனை","ఆలోచన"
"விஷயம்","విషయం"
"விஷயங்கள்","విషయాలు"
"வாழ்க்கை","జీవితం"
"வேலை","ఉద్యోగం"
"கார்","కారు"
"பைக்","బైక్"
"பஸ்","బస్సు"
"ரயில்","రైలు"
"போ","వెళ్ళు"
"வாருங்கள்","రండి"
"பார்க்க","చూడండి"
"பார்","చూడండి"
"வாட்ச்","చూడండి"
"கேளுங்கள்","వినండి"
"சாப்பிடுங்கள்","తినండి"
"பானம்","పానీయం"
"தூங்கு","నిద్ర"
"காத்திருங்கள்","వేచి ఉండండి"
"பேச்சு","చర్చ"
"பேசுங்கள்","మాట్లాడండి"
"சொல்லுங்கள்","చెప్పండి"
"சொல்லுங்கள்","చెప్పండి"
"கேளுங்கள்","అడగండి"
"பதில்","సమాధానం"
"தெரியும்","తెలుసు"
"சிந்தியுங்கள்","ఆలోచించండి"
"புரிந்து கொள்ளுங்கள்","అర్థం చేసుకోండి"
"சராசரி","సగటు"
"விளையாடுங்கள்","ఆడండి"
"போன்ற","ఇష్టం"
"வெறுப்பு","ద్వేషం"
"வேண்டும்","కావాలి"
"தேவை","అవసరం"
"கொடுங்கள்","ఇవ్వండి"
"எடுத்துக் கொள்ளுங்கள்","తీసుకోండి"
"அனுப்பு","పంపండి"
"பெறுங்கள்","స్వీకరించండి"
"அழைப்பு","కాల్"
"சந்திப்பு","కలుసుకోండి"
"தொடக்க","ప్రారంభించండి"
"நிறுத்து","ఆపు"
"முடிக்க","ముగించు"
"முயற்சிக்கவும்","ప్రయత్నించండి"
"செய்","చేయండి"
"உருவாக்கு","చేయండి"
"மகிழ்ச்சி","సంతోషంగా ఉంది"
"சோகம்","విచారంగా ఉంది"
"கோபம்","కోపం"
"சோர்வாக","అలసిపోతుంది"
"பசி","ఆకలితో"
"பிஸியாக","బిజీ"
"இலவசம்","ఉచితం"
"புதியது","క్రొత్తది"
"பழைய","పాత"
"பெரியது","పెద్దది"
"சிறிய","చిన్నది"
"நீண்ட","లాంగ్"
"குறுகிய","చిన్నది"
"சூடாக","వేడి"
"குளிர்","చలి"
"நல்லது","బాగుంది"
"அழகான","అందమైన"
"அருமை","అద్భుతం"
"ஆச்சரியம்","అమేజింగ్"
"உண்மையில்","నిజంగా"
"மிகவும்","చాలా"
"எனவே","కాబట్టి"
"கூட","చాలా"
"பின்னர்","అప్పుడు"
"சில நேரங்களில்","కొన్నిసార్లు"
"பெரும்பாலும்","తరచుగా"
"மீண்டும்","మళ్ళీ"
"வேகமாக","వేగంగా"
"மெதுவாக","నెమ్మదిగా"
"ஆரம்பத்தில்","ప్రారంభంలో"
"தாமதமாக","ఆలస్యంగా"
"மற்றும்","మరియు"
"ஆனால்","కానీ"
"அல்லது","లేదా"
"ஏனெனில்","ఎందుకంటే"
"என்றால்","ఉంటే"
"க்கு","కోసం"
"இல்","ఇన్"
"ஆன்","ఆన్"
"at","వద్ద"
"to","to"
"உடன்","తో"
"இருந்து","నుండి"
"பற்றி","గురించి"
"of","యొక్క"
"நான் நன்றாக இருக்கிறேன், நன்றி.","నేను బాగున్నాను, ధన్యవాదాలు."
"என் பெயர் ...","నా పేరు ..."
"உங்களை சந்தித்ததில் மகிழ்ச்சி.","మిమ్మల్ని కలవడం ఆనందంగా ఉంది."
"மன்னிக்கவும்.","నన్ను క్షమించండి."
"நான் இருந்து ...","నేను నుండి ..."
"நீங்கள் எனக்கு உதவ முடியுமா?","మీరు నాకు సహాయం చేయగలరా?"
"எனக்குத் தெரியாது.","నాకు తెలియదు."
"எனக்கு புரியவில்லை.","నాకు అర్థం కాలేదు."
"போகலாம்.","వెళ్దాం."
"அதிகம் எதுவும் இல்லை.","పెద్దగా ఏమీ లేదు."
"அது நன்றாக இருந்தது.","ఇది మంచిది."
"எனக்கு தாகம் இருக்கிறது.","నాకు దాహం ఉంది."
"ரெஸ்ட் ரூம் எங்குள்ளது?","రెస్ట్‌రూమ్ ఎక్కడ ఉంది?"
"நான் ஓய்வெடுக்க வேண்டும்.","నేను విశ్రాంతి తీసుకోవాలి."
"உங்களுடன் பின்னர் பேசுங்கள்.","తరువాత మీతో మాట్లాడండి."
"என் வழியில்.","నా మార్గంలో."
"வலதுபுறம் இருங்கள்.","వెంటనే తిరిగి ఉండండి."
"அது வேடிக்கையானது.","అది ఫన్నీ."
"அது பெரியது!","అది చాలా బాగుంది!"
"கடவுளே!","ఓహ్ మై గాడ్!"
"வாழ்த்துக்கள்!","అభినందనలు!"
"பிறந்தநாள் வாழ்த்துக்கள்!","పుట్టినరోజు శుభాకాంక్షలు!"
"நான் உன்னை இழக்கிறேன்.","నేను మిస్ మిస్."
"நான் உன்னை நேசிக்கிறேன்.","నేను నిన్ను ప్రేమిస్తున్నాను."
"என்னை அழைக்கவும்.","నన్ను పిలవండి."
"எனக்கு உரை அனுப்பவும்.","నాకు టెక్స్ట్ చేయండి."
"இன்றைய உங்கள் திட்டங்கள் என்ன?","ఈ రోజు మీ ప్రణాళికలు ఏమిటి?"
"நாளை நீங்கள் இலவசமா?","మీరు రేపు స్వేచ్ఛగా ఉన్నారా?"
"நான் அதை எதிர்பார்க்கிறேன்.","నేను దాని కోసం ఎదురు చూస్తున్నాను."
"இது அவசரம்.","ఇది అత్యవసరం."
"கவலைப்பட வேண்டாம்.","చింతించకండి."
"பரவாயில்லை.","ఇది సరే."
"அது ஆச்சரியமாக இருக்கிறது!","ఇది అద్భుతమైనది!"
"நான் மிகவும் மகிழ்ச்சியாக இருக்கிறேன்.","నేను చాలా సంతోషంగా ఉన్నాను."
"நான் மிகவும் சோகமாக இருக்கிறேன்.","నేను చాలా విచారంగా ఉన్నాను."
"நான் உற்சாகமாக இருக்கிறேன்.","నేను సంతోషిస్తున్నాను."
"எனக்கு சலிப்பு.","నేను విసుగు చెందాను."
"நான் செல்ல வேண்டும்.","నేను వెళ్ళాలి."
"நான் அங்கே இருப்பேன்.","నేను అక్కడ ఉంటాను."
"எனக்கு உதவி தேவை.","నాకు సహాయం కావాలి."
"ஒரு கணம் காத்திருங்கள்.","ఒక్క క్షణం వేచి ఉండండి."
"நான் விளையாடுகிறேன்.","నేను తమాషా చేస్తున్నాను."
"எனக்கு நிச்சயமாகத் தெரியவில்லை.","నాకు ఖచ్చితంగా తెలియదు."
"எனக்கு எதுவும் தெரியாது.","నాకు తెలియదు."
"இது அழகாக இருக்கிறது.","ఇది అందంగా ఉంది."
"இது சுவையாக இருக்கிறது.","ఇది రుచికరమైనది."
"எனக்கு உடம்பு சரியில்லை.","నేను అనారోగ్యంతో ఉన్నాను."
"விரைவில் குணமடையுங்கள்.","త్వరగా బాగుపడండి."
"நாங்கள் எங்கே போகிறோம்?","మేము ఎక్కడికి వెళ్తున్నాము?"
"நான் தொலைந்துவிட்டேன்.","నేను కోల్పోయాను."
"அதை மீண்டும் செய்ய முடியுமா?","మీరు దానిని పునరావృతం చేయగలరా?"
"மெதுவாக பேசுங்கள்.","నెమ్మదిగా మాట్లాడండి."
"இது என்ன?","ఇది ఏమిటి?"
"இது எவ்வளவு?","ఇది ఎంత?"
"நான் அதை எடுத்துக்கொள்வேன்.","నేను తీసుకుంటాను."
"உங்களிடம் இது மற்றொரு நிறத்தில் இருக்கிறதா?","మీకు ఇది మరొక రంగులో ఉందా?"
"நான் எங்கே காணலாம் ...?","నేను ఎక్కడ కనుగొనగలను ...?"
"நான் பார்க்கிறேன்.","నేను చూస్తున్నాను."
"ஒரு சிறந்த நாள்!","గొప్ప రోజు!"
"நீங்களும்!","మీరు కూడా!"
"நல்ல அதிர்ஷ்டம்!","అదృష్టం!"
"lol","lol"
"Brb","brb"
"OMW","OMW"
"btw","btw"
"IMO","IMO"
"ttyl","TTYL"
"idk","idk"
"விரைவில்","ASAP"
"ஃபோமோ","ఫోమో"
"ஆடு","మేక"
"லைட்","వెలిగించండి"
"நெகிழ்வு","ఫ్లెక్స్"
"உப்பு","ఉప్పగా"
"தொப்பி","టోపీ"
"வாழ்த்துக்கள்","అభినందనలు"
"நன்றி","ధన్యవాదాలు"
"சுப்","sup"
"யோ","యో"
"கனா","వాసి"
"சகோ","బ్రో"
"சிஸ்","సిస్"
"மனிதன்","మనిషి"
"பெண்","స్త్రీ"
"பெண்","అమ్మాయి"
"பையன்","అబ్బాయి"
"நபர்","వ్యక్తి"
"மக்கள்","ప్రజలు"
"கணம்","క్షణం"
"வழி","మార్గం"
"பகுதி","భాగం"
"குழு","సమూహం"
"நிறுவனம்","కంపెనీ"
"கேள்வி","ప్రశ్న"
"உண்மை","వాస్తవం"
"கதை","కథ"
"புத்தகம்","పుస్తకం"
"இசை","సంగీతం"
"கலை","కళ"
"படம்","చిత్రం"
"படம்","చిత్రం"
"நிறம்","రంగు"
"காற்று","గాలి"
"தீ","అగ్ని"
"பூமி","భూమి"
"சூரியன்","సూర్యుడు"
"சந்திரன்","చంద్రుడు"
"நட்சத்திரம்","స్టార్"
"வானம்","ఆకాశం"
"கடல்","సముద్రం"
"நதி","నది"
"மலை","పర్వతం"
"மரம்","చెట్టు"
"மலர்","పువ్వు"
"விலங்கு","జంతువు"
"நாய்","కుక్క"
"பூனை","పిల్లి"
"பறவை","పక్షి"
"மீன்","చేప"
"வீடு","ఇల్లు"
"அறை","గది"
"கதவு","తలుపు"
"சாளரம்","విండో"
"தெரு","వీధి"
"சாலை","రోడ్"
"நகரம்","పట్టణం"
"கிராமம்","గ్రామం"
"பல்கலைக்கழகம்","విశ్వవిద్యాలయం"
"தொழில்","కెరీర్"
"விலை","ధర"
"செலவு","ఖర్చు"
"மாற்றம்","మార్పు"
"செய்தி","వార్తలు"
"தகவல்","సమాచారం"
"தரவு","డేటా"
"அமைப்பு","వ్యవస్థ"
"திட்டம்","ప్రోగ్రామ్"
"திட்டம்","ప్రాజెక్ట్"
"அணி","జట్టు"
"உறுப்பினர்","సభ్యుడు"
"தலைவர்","నాయకుడు"
"பாஸ்","బాస్"
"மாணவர்","విద్యార్థి"
"ஆசிரியர்","గురువు"
"மருத்துவர்","డాక్టర్"
"வழக்கறிஞர்","న్యాయవాది"
"பொறியாளர்","ఇంజనీర్"
"கலைஞர்","కళాకారుడు"
"எழுத்தாளர்","రచయిత"
"வீரர்","ప్లేయర్"
"விசிறி","అభిమాని"
"எதிரி","శత్రువు"
"அமைதி","శాంతి"
"போர்","యుద్ధం"
"நம்பிக்கை","హోప్"
"பயம்","భయం"
"கனவு","కల"
"உண்மை","రియాలిటీ"
"உண்மை","నిజం"
"பொய்","అబద్ధం"
"வரலாறு","చరిత్ర"
"எதிர்காலம்","భవిష్యత్తు"
"கடந்த","గత"
"தற்போது","ప్రస్తుతం"
"எப்படி","ఎలా"
"மட்டும்","కేవలం"
"சும்மா சொன்னேன்","kidding"
"ப்ரேம்","ప్రేమ"
"இருக்கிறேன்","ఉన్నాను"
"ப்ரேம்","prem"
"இருக்கிறார்கள்","ఉన్నారు"