"హలో","வணக்கம்"
"హాయ్","ஹாய்"
"హే","ஏய்"
"వీడ్కోలు","குட்பை"
"బై","பை"
"స్వాగతం","வரவேற்கிறோம்"
"ఉదయం","காலை"
"మధ్యాహ్నం","பிற்பகல்"
"సాయంత్రం","மாலை"
"రాత్రి","இரவு"
"శుభోదయం","காலை வணக்கம்"
"శుభ మధ్యాహ్నం","நல்ல மதியம்"
"శుభ సాయంత్రం","நல்ல மாலை"
"గుడ్ నైట్","நல்ல இரவு"
"తరువాత కలుద్దాం.","பின்னர் சந்திப்போம்."
"జాగ్రత్త వహించండి.","கவனித்துக் கொள்ளுங்கள்."
"ఏమి","என்ன"
"ఎప్పుడు","எப்போது"
"ఎక్కడ","எங்கே"
"WHO","WHO"
"ఎందుకు","ஏன்"
"ఎలా","எப்படி"
"మీరు?","நீங்கள்?"
"మీ పేరు ఏమిటి?","உங்கள் பெயர் என்ன?"
"మీరు ఏమి చేస్తున్నారు?","நீங்கள் என்ன செய்கிறீர்கள்?"
"ఇది ఏ సమయం?","இது என்ன நேரம்?"
"మీరు ఎక్కడ నుండి వచ్చారు?","நீங்கள் எங்கிருந்து வருகிறீர்கள்?"
"మీ రోజు ఎలా ఉంది?","உங்கள் நாள் எப்படி இருந்தது?"
"ఏమిటి?","என்ன?"
"మీ ఉద్దేశ్యం ఏమిటి?","நீங்கள் என்ன சொல்கிறீர்கள்?"
"మీకు ఖచ్చితంగా తెలుసా?","நீங்கள் உறுதியாக இருக்கிறீர்களா?"
"మీరు ఏమనుకుంటున్నారు?","நீங்கள் என்ன நினைக்கிறீர்கள்?"
"మనం మాట్లాడగలమా?","நாம் பேச முடியுமா?"
"ఏమి జరిగింది?","என்ன நடந்தது?"
"మీరు బాగున్నారా?","நீங்கள் நலமாக இருக்கிறீர்களா?"
"అవును","ஆம்"
"లేదు","இல்லை"
"సరే","சரி"
"సరే","சரி"
"కూల్","குளிர்"
"గొప్పది","பெரிய"
"మంచిది","நல்லது"
"చెడ్డది","மோசமான"
"బహుశా","ஒருவேளை"
"ఖచ్చితంగా","நிச்சயமாக"
"ఎప్పుడూ","ஒருபோதும்"
"ఎల్లప్పుడూ","எப்போதும்"
"కోర్సు యొక్క.","நிச்சயமாக."
"నేను అంగీకరిస్తున్నాను.","நான் ஒப்புக்கொள்கிறேன்."
"నేను అంగీకరించలేదు.","நான் உடன்படவில்லை."
"సమస్య లేదు.","எந்த பிரச்சனையும் இல்லை."
"బాగుంది.","நன்றாக இருக்கிறது."
"అది మంచి ఆలోచన.","அது ஒரு நல்ல யோசனை."
"i","i"
"మీరు","நீங்கள்"
"అతను","அவர்"
"ఆమె","அவள்"
"మేము","நாங்கள்"
"వారు","அவர்கள்"
"నేను","நான்"
"ఆయన","அவர்"
"ఆమె","அவள்"
"మాకు","எங்களுக்கு"
"వాటిని","அவர்கள்"
"నా","என்"
"మీ","உங்கள்"
"అతని","அவரது"
"మా","எங்கள்"
"వారి","அவர்களின்"
"స్నేహితుడు","நண்பர்"
"స్నేహితులు","நண்பர்கள்"
"కుటుంబం","குடும்பம்"
"తల్లి","அம்மா"
"తండ్రి","தந்தை"
"సోదరి","சகோதரி"
"సోదరుడు","சகோதரர்"
"ప్రేమ","காதல்"
"బేబీ","குழந்தை"
"సర్","ஐயா"
"మేడమ్","மேடம்"
"హోమ్","வீடு"
"పని","வேலை"
"పాఠశాల","பள்ளி"
"కళాశాల","கல்லூரி"
"కార్యాలయం","அலுவலகம்"
"ఇక్కడ","இங்கே"
"అక్కడ","அங்கே"
"స్థలం","இடம்"
"నగరం","நகரம்"
"దేశం","நாடு"
"ప్రపంచం","உலகம்"
"సమయం","நேரம்"
"ఈ రోజు","இன்று"
"రేపు","நாளை"
"నిన్న","நேற்று"
"ఇప్పుడు","இப்போது"
"తరువాత","பின்னர்"
"త్వరలో","விரைவில்"
"నిమిషం","நிமிடங்கள்"
"గంట","மணி"
"రోజు","நாள்"
"వారం","வாரம்"
"నెల","மாதம்"
"సంవత్సరం","ஆண்டு"
"సందేశం","செய்தி"
"వచనం","உரை"
"ఫోటో","புகைப்படம்"
"వీడియో","வீடியோ"
"పాట","பாடல்"
"సినిమా","படம்"
"ఆట","விளையாட்டு"
"ఆహారం","உணவு"
"నీరు","நீர்"
"టీ","தேநீர்"
"కాఫీ","காபி"
"పేరు","பெயர்"
"సంఖ్య","எண்"
"డబ్బు","பணம்"
"సహాయం","உதவி"
"సమస్య","சிக்கல்"
"ఆలోచన","யோசனை"
"విషయం","விஷயம்"
"విషయాలు","விஷயங்கள்"
"జీవితం","வாழ்க்கை"
"ఉద్యోగం","வேலை"
"కారు","கார்"
"బైక్","பைக்"
"బస్సు","பஸ்"
"రైలు","ரயில்"
"వెళ్ళు","போ"
"రండి","வாருங்கள்"
"చూడండి","பார்க்க"
"చూడండి","பார்"
"చూడండి","வாட்ச்"
"వినండి","கேளுங்கள்"
"తినండి","சாப்பிடுங்கள்"
"పానీయం","பானம்"
"నిద్ర","தூங்கு"
"వేచి ఉండండి","காத்திருங்கள்"
"చర్చ","பேச்சு"
"మాట్లాడండి","பேசுங்கள்"
"చెప్పండి","சொல்லுங்கள்"
"చెప్పండి","சொல்லுங்கள்"
"అడగండి","கேளுங்கள்"
"సమాధానం","பதில்"
"తెలుసు","தெரியும்"
"ఆలోచించండి","சிந்தியுங்கள்"
"అర్థం చేసుకోండి","புரிந்து கொள்ளுங்கள்"
"సగటు","சராசரி"
"ఆడండి","விளையாடுங்கள்"
"ఇష్టం","போன்ற"
"ద్వేషం","வெறுப்பு"
"కావాలి","வேண்டும்"
"అవసరం","தேவை"
"ఇవ్వండి","கொடுங்கள்"
"తీసుకోండి","எடுத்துக் கொள்ளுங்கள்"
"పంపండి","அனுப்பு"
"స్వీకరించండి","பெறுங்கள்"
"కాల్","அழைப்பு"
"కలుసుకోండి","சந்திப்பு"
"ప్రారంభించండి","தொடக்க"
"ఆపు","நிறுத்து"
"ముగించు","முடிக்க"
"ప్రయత్నించండి","முயற்சிக்கவும்"
"చేయండి","செய்"
"చేయండి","உருவாக்கு"
"సంతోషంగా ఉంది","மகிழ்ச்சி"
"విచారంగా ఉంది","சோகம்"
"కోపం","கோபம்"
"అలసిపోతుంది","சோர்வாக"
"ఆకలితో","பசி"
"బిజీ","பிஸியாக"
"ఉచితం","இலவசம்"
"క్రొత్తది","புதியது"
"పాత","பழைய"
"పెద్దది","பெரியது"
"చిన్నది","சிறிய"
"లాంగ్","நீண்ட"
"చిన్నది","குறுகிய"
"వేడి","சூடாக"
"చలి","குளிர்"
"బాగుంది","நல்லது"
"అందమైన","அழகான"
"అద్భుతం","அருமை"
"అమేజింగ్","ஆச்சரியம்"
"నిజంగా","உண்மையில்"
"చాలా","மிகவும்"
"కాబట్టి","எனவே"
"చాలా","கூட"
"అప్పుడు","பின்னர்"
"కొన్నిసార్లు","சில நேரங்களில்"
"తరచుగా","பெரும்பாலும்"
"మళ్ళీ","மீண்டும்"
"వేగంగా","வேகமாக"
"నెమ్మదిగా","மெதுவாக"
"ప్రారంభంలో","ஆரம்பத்தில்"
"ఆలస్యంగా","தாமதமாக"
"మరియు","மற்றும்"
"కానీ","ஆனால்"
"లేదా","அல்லது"
"ఎందుకంటే","ஏனெனில்"
"ఉంటే","என்றால்"
"కోసం","க்கு"
"ఇన్","இல்"
"ఆన్","ஆன்"
"వద్ద","at"
"to","to"
"తో","உடன்"
"నుండి","இருந்து"
"గురించి","பற்றி"
"యొక్క","of"
"నేను బాగున్నాను, ధన్యవాదాలు.","நான் நன்றாக இருக்கிறேன், நன்றி."
"నా పేరు ...","என் பெயர் ..."
"మిమ్మల్ని కలవడం ఆనందంగా ఉంది.","உங்களை சந்தித்ததில் மகிழ்ச்சி."
"నన్ను క్షమించండి.","மன்னிக்கவும்."
"నేను నుండి ...","நான் இருந்து ..."
"మీరు నాకు సహాయం చేయగలరా?","நீங்கள் எனக்கு உதவ முடியுமா?"
"నాకు తెలియదు.","எனக்குத் தெரியாது."
"నాకు అర్థం కాలేదు.","எனக்கு புரியவில்லை."
"వెళ్దాం.","போகலாம்."
"పెద్దగా ఏమీ లేదు.","அதிகம் எதுவும் இல்லை."
"ఇది మంచిది.","அது நன்றாக இருந்தது."
"నాకు దాహం ఉంది.","எனக்கு தாகம் இருக்கிறது."
"రెస్ట్‌రూమ్ ఎక్కడ ఉంది?","ரெஸ்ட் ரூம் எங்குள்ளது?"
"నేను విశ్రాంతి తీసుకోవాలి.","நான் ஓய்வெடுக்க வேண்டும்."
"తరువాత మీతో మాట్లాడండి.","உங்களுடன் பின்னர் பேசுங்கள்."
"నా మార్గంలో.","என் வழியில்."
"వెంటనే తిరిగి ఉండండి.","வலதுபுறம் இருங்கள்."
"అది ఫన్నీ.","அது வேடிக்கையானது."
"అది చాలా బాగుంది!","அது பெரியது!"
"ఓహ్ మై గాడ్!","கடவுளே!"
"అభినందనలు!","வாழ்த்துக்கள்!"
"పుట్టినరోజు శుభాకాంక్షలు!","பிறந்தநாள் வாழ்த்துக்கள்!"
"నేను మిస్ మిస్.","நான் உன்னை இழக்கிறேன்."
"నేను నిన్ను ప్రేమిస్తున్నాను.","நான் உன்னை நேசிக்கிறேன்."
"నన్ను పిలవండి.","என்னை அழைக்கவும்."
"నాకు టెక్స్ట్ చేయండి.","எனக்கு உரை அனுப்பவும்."
"ఈ రోజు మీ ప్రణాళికలు ఏమిటి?","இன்றைய உங்கள் திட்டங்கள் என்ன?"
"మీరు రేపు స్వేచ్ఛగా ఉన్నారా?","நாளை நீங்கள் இலவசமா?"
"నేను దాని కోసం ఎదురు చూస్తున్నాను.","நான் அதை எதிர்பார்க்கிறேன்."
"ఇది అత్యవసరం.","இது அவசரம்."
"చింతించకండి.","கவலைப்பட வேண்டாம்."
"ఇది సరే.","பரவாயில்லை."
"ఇది అద్భుతమైనది!","அது ஆச்சரியமாக இருக்கிறது!"
"నేను చాలా సంతోషంగా ఉన్నాను.","நான் மிகவும் மகிழ்ச்சியாக இருக்கிறேன்."
"నేను చాలా విచారంగా ఉన్నాను.","நான் மிகவும் சோகமாக இருக்கிறேன்."
"నేను సంతోషిస్తున్నాను.","நான் உற்சாகமாக இருக்கிறேன்."
"నేను విసుగు చెందాను.","எனக்கு சலிப்பு."
"నేను వెళ్ళాలి.","நான் செல்ல வேண்டும்."
"నేను అక్కడ ఉంటాను.","நான் அங்கே இருப்பேன்."
"నాకు సహాయం కావాలి.","எனக்கு உதவி தேவை."
"ఒక్క క్షణం వేచి ఉండండి.","ஒரு கணம் காத்திருங்கள்."
"నేను తమాషా చేస్తున్నాను.","நான் விளையாடுகிறேன்."
"నాకు ఖచ్చితంగా తెలియదు.","எனக்கு நிச்சயமாகத் தெரியவில்லை."
"నాకు తెలియదు.","எனக்கு எதுவும் தெரியாது."
"ఇది అందంగా ఉంది.","இது அழகாக இருக்கிறது."
"ఇది రుచికరమైనది.","இது சுவையாக இருக்கிறது."
"నేను అనారోగ్యంతో ఉన్నాను.","எனக்கு உடம்பு சரியில்லை."
"త్వరగా బాగుపడండి.","விரைவில் குணமடையுங்கள்."
"మేము ఎక్కడికి వెళ్తున్నాము?","நாங்கள் எங்கே போகிறோம்?"
"నేను కోల్పోయాను.","நான் தொலைந்துவிட்டேன்."
"మీరు దానిని పునరావృతం చేయగలరా?","அதை மீண்டும் செய்ய முடியுமா?"
"నెమ్మదిగా మాట్లాడండి.","மெதுவாக பேசுங்கள்."
"ఇది ఏమిటి?","இது என்ன?"
"ఇది ఎంత?","இது எவ்வளவு?"
"నేను తీసుకుంటాను.","நான் அதை எடுத்துக்கொள்வேன்."
"మీకు ఇది మరొక రంగులో ఉందా?","உங்களிடம் இது மற்றொரு நிறத்தில் இருக்கிறதா?"
"నేను ఎక్కడ కనుగొనగలను ...?","நான் எங்கே காணலாம் ...?"
"నేను చూస్తున్నాను.","நான் பார்க்கிறேன்."
"గొప్ప రోజు!","ஒரு சிறந்த நாள்!"
"మీరు కూడా!","நீங்களும்!"
"అదృష్టం!","நல்ல அதிர்ஷ்டம்!"
"lol","lol"
"brb","Brb"
"OMW","OMW"
"btw","btw"
"IMO","IMO"
"TTYL","ttyl"
"idk","idk"
"ASAP","விரைவில்"
"ఫోమో","ஃபோமோ"
"మేక","ஆடு"
"వెలిగించండి","லைட்"
"ఫ్లెక్స్","நெகிழ்வு"
"ఉప్పగా","உப்பு"
"టోపీ","தொப்பி"
"అభినందనలు","வாழ்த்துக்கள்"
"ధన్యవాదాలు","நன்றி"
"sup","சுப்"
"యో","யோ"
"వాసి","கனா"
"బ్రో","சகோ"
"సిస్","சிஸ்"
"మనిషి","மனிதன்"
"స్త్రీ","பெண்"
"అమ్మాయి","பெண்"
"అబ్బాయి","பையன்"
"వ్యక్తి","நபர்"
"ప్రజలు","மக்கள்"
"క్షణం","கணம்"
"మార్గం","வழி"
"భాగం","பகுதி"
"సమూహం","குழு"
"కంపెనీ","நிறுவனம்"
"ప్రశ్న","கேள்வி"
"వాస్తవం","உண்மை"
"కథ","கதை"
"పుస్తకం","புத்தகம்"
"సంగీతం","இசை"
"కళ","கலை"
"చిత్రం","படம்"
"చిత్రం","படம்"
"రంగు","நிறம்"
"గాలి","காற்று"
"అగ్ని","தீ"
"భూమి","பூமி"
"సూర్యుడు","சூரியன்"
"చంద్రుడు","சந்திரன்"
"స్టార్","நட்சத்திரம்"
"ఆకాశం","வானம்"
"సముద్రం","கடல்"
"నది","நதி"
"పర్వతం","மலை"
"చెట్టు","மரம்"
"పువ్వు","மலர்"
"జంతువు","விலங்கு"
"కుక్క","நாய்"
"పిల్లి","பூனை"
"పక్షి","பறவை"
"చేప","மீன்"
"ఇల్లు","வீடு"
"గది","அறை"
"తలుపు","கதவு"
"విండో","சாளரம்"
"వీధి","தெரு"
"రోడ్","சாலை"
"పట్టణం","நகரம்"
"గ్రామం","கிராமம்"
"విశ్వవిద్యాలయం","பல்கலைக்கழகம்"
"కెరీర్","தொழில்"
"ధర","விலை"
"ఖర్చు","செலவு"
"మార్పు","மாற்றம்"
"వార్తలు","செய்தி"
"సమాచారం","தகவல்"
"డేటా","தரவு"
"వ్యవస్థ","அமைப்பு"
"ప్రోగ్రామ్","திட்டம்"
"ప్రాజెక్ట్","திட்டம்"
"జట్టు","அணி"
"సభ్యుడు","உறுப்பினர்"
"నాయకుడు","தலைவர்"
"బాస్","பாஸ்"
"విద్యార్థి","மாணவர்"
"గురువు","ஆசிரியர்"
"డాక్టర్","மருத்துவர்"
"న్యాయవాది","வழக்கறிஞர்"
"ఇంజనీర్","பொறியாளர்"
"కళాకారుడు","கலைஞர்"
"రచయిత","எழுத்தாளர்"
"ప్లేయర్","வீரர்"
"అభిమాని","விசிறி"
"శత్రువు","எதிரி"
"శాంతి","அமைதி"
"యుద్ధం","போர்"
"హోప్","நம்பிக்கை"
"భయం","பயம்"
"కల","கனவு"
"రియాలిటీ","உண்மை"
"నిజం","உண்மை"
"అబద్ధం","பொய்"
"చరిత్ర","வரலாறு"
"భవిష్యత్తు","எதிர்காலம்"
"గత","கடந்த"
"ప్రస్తుతం","தற்போது"
"ఎలా","எப்படி"
"కేవలం","மட்டும்"
"kidding","சும்மா சொன்னேன்"
"ప్రేమ","ப்ரேம்"
"ఉన్నాను","இருக்கிறேன்"
"prem","ப்ரேம்"
"ఉన్నారు","இருக்கிறார்கள்"
